name dummy x y z omega phi kappa
585633659 585633659 -639931.734 -1042592.738 237.693 -2.225 -2.08 90.084
585633978 585633978 -639931.835 -1042587.636 237.698 -2.27 -1.999 90.122
585634297 585634297 -639931.935 -1042582.53 237.699 -2.186 -2.044 90.064
585634616 585634616 -639932.022 -1042577.401 237.68 -1.984 -2.069 90.051
585634935 585634935 -639932.128 -1042572.27 237.667 -2.304 -1.788 89.99
585635254 585635254 -639932.208 -1042567.157 237.644 -2.162 -1.586 89.671
585635573 585635573 -639932.262 -1042562.068 237.615 -2.083 -1.511 89.527
585635892 585635892 -639932.316 -1042557 237.578 -2.224 -1.386 89.558
585636211 585636211 -639932.374 -1042551.96 237.533 -2.42 -1.486 89.371
585636531 585636531 -639932.396 -1042546.948 237.503 -2.052 -1.606 89.425
585636850 585636850 -639932.441 -1042541.959 237.459 -2.22 -1.374 89.392
585637169 585637169 -639932.482 -1042537.002 237.398 -2.265 -1.244 89.377
585637488 585637488 -639932.528 -1042532.079 237.34 -2.383 -1.171 89.499
585637807 585637807 -639932.579 -1042527.185 237.277 -2.295 -1.233 89.666
585638126 585638126 -639932.643 -1042522.303 237.22 -2.613 -1.272 89.427
585638445 585638445 -639932.681 -1042517.426 237.151 -2.516 -0.722 89.342
585638765 585638765 -639932.699 -1042512.595 237.072 -1.934 -1.026 89.551
585639084 585639084 -639932.765 -1042507.782 236.999 -2.248 -0.756 89.646
585639403 585639403 -639932.821 -1042502.998 236.899 -2.165 -0.749 89.633
585639722 585639722 -639932.877 -1042498.242 236.798 -2.072 -0.854 89.807
585640041 585640041 -639932.949 -1042493.513 236.719 -2.013 -0.934 89.926
585640360 585640360 -639933.021 -1042488.818 236.65 -1.721 -1.236 90.098
585640699 585640699 -639933.125 -1042483.862 236.602 -1.828 -1.403 90.204
585641038 585641038 -639933.235 -1042478.944 236.568 -1.906 -1.52 90.266
585641377 585641377 -639933.354 -1042474.049 236.517 -1.91 -1.054 90.314
585641717 585641717 -639933.481 -1042469.205 236.455 -2.124 -1.27 90.315
585642056 585642056 -639933.6 -1042464.384 236.394 -2.313 -0.935 90.073
585642395 585642395 -639933.695 -1042459.607 236.322 -2.311 -0.892 90.141
585642734 585642734 -639933.805 -1042454.873 236.25 -2.436 -1.216 90.321
585643093 585643093 -639933.927 -1042449.882 236.186 -2.341 -0.963 90.438
585643452 585643452 -639934.051 -1042444.935 236.116 -2.205 -1.01 90.435
585643812 585643812 -639934.173 -1042440.032 236.053 -2.181 -1.368 90.328
585644171 585644171 -639934.278 -1042435.156 236.008 -2.016 -1.102 90.113
585644530 585644530 -639934.369 -1042430.32 235.946 -1.818 -1.017 90.252
585644889 585644889 -639934.477 -1042425.521 235.87 -1.816 -1.008 90.132
585645248 585645248 -639934.551 -1042420.754 235.794 -1.418 -0.966 89.859
585645607 585645607 -639934.601 -1042416.022 235.725 -1.233 -1.051 89.45
585645966 585645966 -639934.61 -1042411.345 235.651 -0.952 -0.794 88.977
585646326 585646326 -639934.596 -1042406.818 235.576 -1.106 -0.576 88.438
585646685 585646685 -639934.522 -1042402.511 235.503 -0.979 -0.272 87.579
585647120 585647120 -639934.338 -1042397.637 235.401 -0.553 -0.514 86.329
585647575 585647575 -639934.049 -1042392.846 235.306 -0.285 -1.249 85.411
585648030 585648030 -639933.737 -1042388.219 235.225 0.193 -0.699 85.446
585648527 585648527 -639933.424 -1042383.392 235.145 0.372 -0.964 85.599
585649043 585649043 -639933.131 -1042378.614 235.085 0.749 -1.021 85.835
585649559 585649559 -639932.901 -1042374.214 235.019 0.641 -0.71 86.341
585650203 585650203 -639932.709 -1042369.34 234.942 1.122 -0.646 88.065
585650944 585650944 -639932.749 -1042364.65 234.875 0.784 -0.763 90.673
585651911 585651911 -639933.015 -1042359.813 234.807 0.622 -0.937 93.307
585653129 585653129 -639933.441 -1042354.86 234.735 0.567 -1.337 94.387
585654625 585654625 -639933.951 -1042349.83 234.663 0.951 -1.377 95.42
585656188 585656188 -639934.542 -1042344.884 234.606 1.097 -1.763 95.813
585657533 585657533 -639935.094 -1042339.849 234.548 1.151 -2.445 95.348
585658569 585658569 -639935.719 -1042334.846 234.522 0.812 -2.248 96.53
585659557 585659557 -639936.456 -1042329.789 234.498 0.73 -1.903 97.935
585700505 585700505 -639937.296 -1042324.767 234.451 0.526 -1.867 98.794
585701383 585701383 -639938.153 -1042319.607 234.404 -0.472 -1.95 97.33
585702184 585702184 -639938.751 -1042314.444 234.348 -0.455 -1.775 93.868
585702963 585702963 -639938.956 -1042309.239 234.316 -0.717 -2.334 89.137
585703688 585703688 -639938.666 -1042304.207 234.297 -0.783 -1.637 82.558
585704412 585704412 -639937.659 -1042299.309 234.305 -1.242 -2.172 72.626
585705136 585705136 -639935.669 -1042294.641 234.27 -0.941 -1.853 60.183
585705840 585705840 -639932.648 -1042290.402 234.224 -1.056 -2.356 47.435
585706525 585706525 -639928.598 -1042286.683 234.213 -1.51 -2.208 36.14
585707121 585707121 -639924.172 -1042283.846 234.199 -0.854 -2.809 28.172
585707658 585707658 -639919.482 -1042281.578 234.189 -0.7 -2.538 21.662
585708195 585708195 -639914.195 -1042279.678 234.179 -0.137 -2.538 16.622
592453282 592453282 -639919.937 -1042259.896 234.069 -0.282 -1.445 -168.21
592453620 592453620 -639923.793 -1042260.763 234.072 -0.502 -1.515 -168.922
592454048 592454048 -639928.291 -1042261.696 234.087 -0.506 -1.631 -169.85
592454532 592454532 -639932.936 -1042262.529 234.098 -0.885 -1.798 -172.905
592455058 592455058 -639937.533 -1042262.979 234.126 -1.589 -1.297 -179.622
592455649 592455649 -639942.061 -1042262.717 234.132 -1.89 -2.006 170.744
592456290 592456290 -639946.537 -1042261.6 234.137 -2.194 -1.541 159.059
592456930 592456930 -639950.462 -1042259.659 234.144 -2.702 -1.828 145.999
592457652 592457652 -639954.329 -1042256.339 234.124 -3.107 -1.161 130.88
592458332 592458332 -639957.297 -1042252.072 234.068 -3.405 -2.57 117.45
592458961 592458961 -639959.481 -1042247.039 234.072 -2.99 -2.432 109.234
592459590 592459590 -639961.488 -1042241.141 234.055 -2.855 -2.918 107.021
592500070 592500070 -639963.154 -1042236.087 234.065 -2.727 -2.963 107.646
592500529 592500529 -639964.923 -1042230.913 234.078 -2.774 -2.863 108.074
592500987 592500987 -639966.855 -1042225.431 234.087 -2.585 -2.8 108.875
592501384 592501384 -639968.696 -1042220.429 234.093 -2.458 -2.778 109.759
592501754 592501754 -639970.575 -1042215.588 234.103 -2.47 -2.623 110.693
592502124 592502124 -639972.574 -1042210.63 234.103 -2.12 -2.257 111.573
592502473 592502473 -639974.545 -1042205.945 234.096 -1.927 -2.099 112.406
592502823 592502823 -639976.6 -1042201.279 234.091 -2.109 -2.317 113.006
592503172 592503172 -639978.736 -1042196.583 234.105 -2.402 -2.288 113.699
